,0,1
170, Education ,"0.122
(0.033)"
171, zhengzhi ,"0.541
(0.162)"
172, shejiao ,"0.022
(0.013)"
173, hulianwang ,"0.04
(0.026)"
174, jieceng ,"0.146
(0.054)"
175, zongjiao ,"0.106
(0.102)"
176, health ,"0.042
(0.023)"
177, xuanju ,"0.109
(0.046)"
178, jingji ,"-0.043
(0.042)"
179, juzhu ,"-0.574
(0.141)"
180, fsize ,"0.021
(0.017)"
181, F_zhiye ,"-0.159
(0.104)"
182, P_zhengzhi ,"0.092
(0.094)"
183, P_Education ,"0.052
(0.034)"
184, huanbao ,"-0.149
(0.034)"
185, _cons ,"0.135
(0.256)"
